objID,run,ra,dec,rerun,camcol,field,z,zErr,template_photo_z,template_photo_zErr,bin
1237651540324319984,1412,193.922401101269,68.4251346680162,301,6,191,0.7246081,0.0001444369,0.621671,0.035961,6
1237648721743906337,756,125.803212990396,0.32190116327286,301,4,67,0.6322657,0.000124595,0.609716,0.02994,5
1237651538712789356,1412,188.000125822673,67.2798476689527,301,3,177,0.486347,0.0001076111,0.491778,0.022329,3
1237651714798059901,1453,248.204962623731,47.1535544020192,301,3,49,0.6440831,0.0001860431,0.678238,0.085107,5
1237651190281339456,1331,125.550815509567,46.3028429387871,301,2,143,0.7875268,0.0001052734,0.650469,0.063618,6
1237648722304828154,756,180.843566234712,0.736618997929645,301,5,434,0.4745221,0.0001250746,0.467992,0.03778,3
1237651496827814754,1402,113.179453729876,38.4077287646827,301,5,39,0.4844569,9.065896e-05,0.465617,0.022408,3
1237648722820137748,756,131.556283965272,1.16153050922057,301,6,105,0.4647536,9.552571e-05,0.474293,0.025338,3
1237650803733168770,1241,157.222186886335,-2.94864175875327,301,2,126,0.9954697,2.392817e-05,0.650683,0.064043,8
1237651752950890949,1462,212.644767517435,1.47811520899738,301,2,583,0.5440989,0.0001262324,0.500774,0.023464,4
1237650762926719084,1231,178.385664863871,-1.59658725506652,301,6,61,0.4674069,9.436338e-05,0.490301,0.050774,3
1237651737373507790,1458,193.604822458099,3.24048072892832,301,5,459,0.2142307,4.497563e-05,0.292615,0.023441,1
1237650371544678423,1140,154.824314189688,-1.46720353968384,301,5,13,0.5220379,0.000131378,0.581934,0.031954,4
1237651251476563032,1345,113.364720786919,34.8334773850734,301,4,20,0.5181007,0.0001528411,0.538154,0.024052,4
1237651752415724166,1462,216.528998616825,0.977826530508164,301,1,609,0.52994,0.0001175898,0.484486,0.102292,4
1237651736300618217,1458,195.471270281282,2.44679761105962,301,3,472,0.5064203,9.604283e-05,0.488847,0.026069,4
1237648702974329492,752,201.382150745323,-1.11101685929809,301,1,386,0.5678189,0.0001431781,0.511757,0.040249,4
1237650371010560364,1140,161.10825686232,-1.98263321974401,301,4,55,0.5256912,0.0001788992,0.525626,0.083422,4
1237651539775717832,1412,135.400880685933,58.3669493117651,301,5,12,0.4920261,0.0001319039,0.460736,0.040923,3
1237649920044105980,1035,25.979064768676,14.1596061429362,301,4,133,0.3318316,5.833658e-05,0.333403,0.020338,2
1237651735776330768,1458,224.322761904072,1.3113568421481,301,2,664,0.5537568,0.0001702016,0.61581,0.054482,4
1237651538717966968,1412,216.094586686705,64.178559320854,301,3,256,0.6404476,0.0002627674,0.628103,0.04447,5
1237650762396795496,1231,194.289530439746,-2.04535960100725,301,5,167,0.6139151,0.000188251,0.701139,0.080263,5
1237651272420426357,1350,120.799818270142,45.8705886459782,301,3,110,0.4106504,0.00019845,0.435133,0.03374,3
1237651191351214466,1331,117.531265962922,39.6171426816786,301,4,84,0.3771455,5.081654e-05,0.356745,0.02444,2
1237651191358751404,1331,133.277483399597,53.1939520007522,301,4,199,0.2137077,6.240018e-05,0.419454,0.093025,1
1237651505953702690,1404,202.724687150096,1.19878713135686,301,6,25,0.5762031,6.97412e-05,0.54396,0.053925,4
1237650805342929387,1241,155.329626392905,-1.63730523492201,301,5,113,0.553444,0.0001285505,0.534072,0.023161,4
1237651190814474404,1331,118.105198512722,39.6912843969264,301,3,86,0.5805798,0.0001281475,0.565346,0.04549,4
1237651250408521982,1345,123.94145115436,45.1121483135671,301,2,107,0.2785912,4.21396e-05,0.301425,0.016926,1
1237651274043490923,1350,158.453334453455,66.1513608203264,301,6,300,0.6199021,0.0002054789,0.530352,0.027953,5
1237648720709551024,756,215.858500261985,-0.594555732467706,301,2,668,0.5715338,0.0001490636,0.560315,0.033157,4
1237651503806022303,1404,202.296389074673,-0.475951450295104,301,2,22,0.525409,0.0001138837,0.532608,0.031526,4
1237648703520965588,752,223.655876034825,-0.70050452761934,301,2,535,0.3766853,0.0001061763,0.464564,0.032046,2
1237648703512707847,752,204.761113696924,-0.767465733483428,301,2,409,0.4804927,0.0001286378,0.53748,0.057513,3
1237651273511665848,1350,188.131465501659,68.0850047293275,301,5,377,0.2700625,6.171739e-05,0.319679,0.038254,1
1237648720679731773,756,147.771385674015,-0.46890223581081,301,2,213,0.5220256,0.000143948,0.554172,0.03707,4
1237651736845878020,1458,214.729938047634,2.46076164729084,301,4,600,0.4003806,0.0001190332,0.46148,0.024949,3
1237651736309072771,1458,214.867364230638,2.08494238342445,301,3,601,0.5691809,0.000194966,0.536017,0.047464,4
1237651272957297155,1350,120.328838793585,46.0350444274403,301,4,110,0.3664295,6.76763e-05,0.382592,0.026365,2
1237650795143037453,1239,138.727876182158,-0.743832429308085,301,2,123,0.4978267,8.760295e-05,0.489693,0.062509,3
1237651272957821953,1350,121.288092086047,47.1724296405163,301,4,118,0.5819584,0.0003674601,0.621028,0.036976,4
1237648704058360748,752,224.851405084369,-0.216740942513316,301,3,543,0.5678172,0.0001070595,0.599612,0.03085,4
1237650804805599911,1241,154.261475006128,-2.0625498305889,301,4,106,0.7628164,0.0001821694,0.698885,0.067744,6
1237651735777248357,1458,226.350164977111,1.33511101669314,301,2,678,0.70991,0.0001495881,0.63177,0.03172,6
1237648705673561099,752,235.285316204,1.05290861287428,301,6,613,0.713814,0.0002201279,0.831829,0.036322,6
1237651538715476676,1412,203.506762428335,66.3872852404471,301,3,218,0.604021,0.0001500502,0.588586,0.040558,5
1237648703523128295,752,228.588229541163,-0.784292854603706,301,2,568,0.4542961,0.0001574676,0.498567,0.027671,3
1237650760787821145,1231,198.031247669604,-3.17839980006726,301,2,192,0.4909079,0.0001250746,0.526458,0.043638,3
1237651495760102348,1402,124.458274675134,49.6492729396562,301,3,131,0.7292472,0.0002230638,0.614789,0.075048,6
1237651538702827779,1412,139.160556416366,59.0894243620063,301,3,25,0.5602864,0.0001729015,0.574168,0.057039,4
1237651736850530717,1458,225.354385344213,2.17340280890709,301,4,671,0.5649809,0.0001266014,0.558763,0.02654,4
1237651272964374983,1350,137.335942393301,58.6621704631251,301,4,218,0.3048309,4.650357e-05,0.326874,0.026958,2
1237648722293687157,756,155.422704854775,0.696584628480931,301,5,264,0.6184568,0.0001676183,0.536505,0.028034,5
1237651737930302060,1458,239.058481911942,2.55230613581064,301,6,763,0.5495984,0.0001295473,0.491631,0.030295,4
1237651192429216360,1331,124.348073775006,48.0802638087219,301,6,149,0.457727,0.0001143063,0.48831,0.018269,3
1237651252043317605,1345,221.697009177808,60.701300506112,301,5,476,0.503437,0.0002941173,0.509612,0.031005,4
1237651252558496488,1345,127.111034669273,50.6331952166352,301,6,145,0.7562006,0.0002204197,0.64779,0.063008,6
1237651252558627478,1345,127.561421931017,50.8296573053407,301,6,147,0.5585304,0.0001013649,0.539481,0.044432,4
1237648720681108409,756,150.86941699207,-0.482641632603211,301,2,234,0.5629632,0.000146272,0.552719,0.035224,4
1237651754017161647,1462,195.611072877017,2.61118346485422,301,4,469,0.5839507,0.0001192194,0.45265,0.134635,4
1237651753464299793,1462,159.035110108479,1.94011147460232,301,3,225,0.3200853,6.926057e-05,0.384621,0.027812,2
